Carimbo de data/hora,DATA,HORÁRIO,TIPO DE EVENTO,Tipo de Culto,QUEM MINISTROU:,TÍTULO DA MENSAGEM,O CULTO FOI DE UMA SÉRIE?,"SE FOR SÉRIE, QUAL NOME?",QUANTIDADE DE HOMENS,QUANTIDADE DE MULHERES,QUANTIDADE DE CRIANÇAS,QUANTIDADE DE BEBÊS,QUANTIDADE DE VOLUNTÁRIOS,COMENTÁRIOS ADICIONAIS
05/07/2026 12:23:18,05/07/2026,10:30:00,Culto,Culto de Celebração,Apóstolo Edimilson ,Farei isso em Memória de Mim ,NÃO,Culto Santa Ceia ,470,721,96,39,79,Jesus é a nossa Salvação 
02/07/2026 20:53:26,02/07/2026,19:30:00,Culto Especial,Pink,Ap. Mariza,Vida plena em Deus,NÃO,,0,962,45,14,64,Culto Pink + Só pra Elas 
01/07/2026 19:51:30,01/07/2026,19:00:00,Culto,Culto de Quarta,Apóstolo Edmilson. ,Como acessar as riquezas encobertas de Deus. ,SIM,Riquezas encobertas tesouros escondidos. ,143.,215.,23.,05.,36.,Uma benção. 
28/06/2026 11:22:35,28/06/2026,10:00:00,Culto,Culto de Celebração,Apóstolo Edimilson ,Praticando a Espiritualidade que Abençoa,SIM,40 dias de prosperidade bíblica,404,482,75,27,71,Uma vida espiritual abençoada 
28/06/2026 19:40:53,28/06/2026,18:00:00,Culto,Outros,Apóstolo Edmilson. ,Praticando a Espiritualidade que abencoa,SIM,40 dias de prosperidade bíblica. ,448,831.,87.,31.,66.,Uma bem-vindo 
26/06/2026 20:10:23,26/06/2026,19:00:00,Culto,Sexta Free,Pastora Ana Lucia ,Sexta Free ,NÃO,,19,36,7,0,22,
21/06/2026 11:25:52,21/06/2026,10:00:00,Culto,Culto de Celebração,Pastor Nilton Tuller,"Salvação, Cura e Libertação ",NÃO,,472,629,85,26,67,Tenha Fé 
21/06/2026 19:38:34,21/06/2026,18:00:00,Culto,Culto de Celebração,Pastor Nilton Tuller,"Salvação, cura e libertação ",NÃO,,394,591,66,31,60,Backstage: Nathalia | Bruno
20/06/2026 11:35:42,20/06/2026,09:00:00,Treinamento,Outros,Ap. Edmilson/ Pr. Júlio e Pr. Harry( Rede Inspire),Mesa Inspire ,NÃO,,41,20,0,0,50,Backstage: Pr. Marco / Thiago M. / Luan
17/06/2026 22:00:14,17/06/2026,19:00:00,Culto,Culto de Quarta,Pr Breno ,Quando a igreja ora ,SIM,Por essa causa eu me coloco de joelhos ,176,256,19,8,37,
16/06/2026 20:43:05,16/06/2026,19:30:00,Culto Especial,Pink,Pastora Édita,Celebração do aniversário da apóstola Mariza,NÃO,,0,584,27,8,45,Backstage Tayane e Katia
14/06/2026 11:23:09,14/06/2026,10:00:00,Culto,Culto de Celebração,Ap. Edmilson ,Consagração e multiplicação: princípios que ativam a provisão de Deus ,SIM,40 dias de prosperidade bíblica ,242,328,48,25,65,Backstage Tayane | Thiago M.
14/06/2026 20:07:50,14/06/2026,18:00:00,Culto,Culto de Celebração,Ap Edimilson ,Consagração e multiplicação: Princípios que ativam a provisão de Deus,SIM,40 dias de Prosperidade Bíblica ,444,620,107,33,63,
13/06/2026 10:46:06,13/06/2026,09:30:00,Treinamento,Outros,Pr. Carlos,Consciência Financeira ,NÃO,,32,30,0,0,7,Backstage Pr. Marco
12/06/2026 23:44:38,12/06/2026,18:00:00,Oração,Outros,Ao. Edmilson ,Jornada Profética ,NÃO,,25,35,0,0,24,Backstage Pr. Marco
12/06/2026 23:41:20,11/06/2026,18:00:00,Oração,Outros,Ap. Edmilson ,Jornada Profética ,NÃO,,30,42,0,0,28,Backstage 
10/06/2026 18:37:55,10/06/2026,18:00:00,Culto,Outros,Pr Aldo,Jornada Profética ,NÃO,,52,75,0,0,27,Backstage Tayane | Pr Marco
10/06/2026 20:08:07,10/06/2026,19:00:00,Culto,Culto de Quarta,Ap. Edmilson ,Deus é poderoso para fazer infinitamente mais ,SIM,Por essa causa me coloco de joelhos ,193,245,18,4,40,Backstage Tayane | Pr. Marco
09/06/2026 19:57:44,09/06/2026,18:00:00,Oração,Outros,Bispo Clodoilson,Jornada Profética ,NÃO,,33,54,0,0,17,Backstage Pr. Marco 
08/06/2026 21:50:25,08/06/2026,18:00:00,Oração,Outros,Pr. Breno,Jornada Profética ,NÃO,,37,62,0,0,17,
