Carimbo de data/hora,DATA,HORÁRIO,TIPO DE EVENTO,Tipo de Culto,QUEM MINISTROU:,TÍTULO DA MENSAGEM,O CULTO FOI DE UMA SÉRIE?,"SE FOR SÉRIE, QUAL NOME?",QUANTIDADE DE HOMENS,QUANTIDADE DE MULHERES,QUANTIDADE DE CRIANÇAS,QUANTIDADE DE BEBÊS,QUANTIDADE DE VOLUNTÁRIOS,COMENTÁRIOS ADICIONAIS
05/01/2025 10:56:27,05/01/2025,08:30:00,Culto,Culto de Celebração,Pastor Messias ,Deus o nosso Pastor ,SIM,Favor de Deus ,45,67,16,3,34,Tivemos- 2 Conversão 
05/01/2025 21:23:11,05/01/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,Deus o nosso Pastor ,SIM,Favor de Dues,67,95,23,10,34,Visitante- 4
08/01/2025 20:54:56,08/01/2025,19:00:00,Culto,Culto de Quarta,Pastor Alberto ,O Milagre da Provisão,SIM,Os milagres de Jesus ,31,61,17,0,19,Visitantes 10
12/01/2025 10:42:26,12/01/2025,08:30:00,Culto,Culto de Celebração,Pastor Edson Ortega ,Tudo o que é meu é Teu,SIM,Favor de Deus ,44,66,10,0,16,1- unção de Baby
12/01/2025 21:01:33,12/01/2025,19:00:00,Culto,Culto de Celebração,Bisp. Evaldo ,Tudo o que é meu é Teu,SIM,Favor de Deus ,70,94,32,8,30,7- Visitantes 
15/01/2025 23:07:35,15/01/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,A pesca maravilhosa ,SIM,Os milagres de Jesus ,25,43,11,0,22,3- Visitante
19/01/2025 10:45:42,19/01/2025,08:30:00,Culto,Culto de Celebração,Pastor Messias ,Tu Sempre estás Comigo,SIM,Favor de Deus ,35,51,7,3,18,
19/01/2025 21:12:15,19/01/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,Tu Sempre estás Comigo,SIM,Favor de Deus ,61,102,20,5,30,5-  Visitantes 
22/01/2025 23:04:15,22/01/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,Jesus Acalma a Tempestade ,SIM,Os milagres de Jesus ,36,57,10,0,19,
26/01/2025 10:42:39,26/01/2025,08:30:00,Culto,Culto de Celebração,Pastor Edson Ortega ,O favor de Deus por Abraão ,SIM,Favor de Deus ,31,42,5,3,21,3- Visitantes 
26/01/2025 22:04:02,26/01/2025,19:00:00,Culto,Culto de Celebração,Apóst. Edmilson ,A suprema Riqueza da sua Graça ,SIM,Favor de Deus ,90,120,40,9,36,Tivemos 6- Apelo
29/01/2025 21:02:19,29/01/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,A cura é para Você,SIM,Os milagres de Jesus ,31,47,11,O,18,
01/02/2025 07:57:38,31/01/2025,22:00:00,Oração,Noite de Avivamento,Pastor Alberto ,A importância do Espírito santo na vida cristã ,NÃO,,20,30,0,0,8,12- pessoas batizada no Espírito Santo 
02/02/2025 11:13:06,02/02/2025,08:30:00,Culto,Culto de Celebração,Pastor Messias ,É tudo Sobre o Coração ,SIM,Uma vida Abençoada ,36,67,13,0,26,
02/02/2025 22:15:16,02/02/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,É tudo sobre o coração ,SIM,Uma vida Abençoada ,80,109,33,7,35,
05/02/2025 21:09:19,05/02/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,Seja Produtivo ,SIM,Os Milagres de Jesus ,34,53,9,0,16,
09/02/2025 10:45:48,09/02/2025,08:30:00,Culto,Culto de Celebração,Pastor Messias ,A Prova,SIM,Uma Vida Abençoada ,45,55,11,0,19,
09/02/2025 21:13:33,09/02/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,A Prova,SIM,Uma Vida Abençoada ,70,93,29,9,31,2- Apelo
12/02/2025 21:02:17,12/02/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,O milagre do ressurreição ,SIM,Os milagres de Jesus ,33,48,9,0,20,1- Apelo
16/02/2025 10:30:14,16/02/2025,08:30:00,Culto,Culto de Celebração,Pr. Edson Ortega ,O Princípio do Primeiro,SIM,Uma vida Abençoada ,37,56,11,1,19,
16/02/2025 21:09:53,16/02/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,O Princípio do Primeiro,SIM,Uma vida Abençoada ,64,113,24,3,27,
19/02/2025 21:36:15,19/02/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,O milagre do novo nascimento ,SIM,Os milagres de Jesus ,32,75,15,0,24,
23/02/2025 10:46:50,23/02/2025,08:30:00,Culto,Culto de Celebração,Pastor Messias ,Como Quebrar a Influência de Mamom ,SIM,Uma vida Abençoada ,38,61,20,3,20,2- Apelo
23/02/2025 21:01:10,23/02/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,Como Quebrar a Influência de Mamom ,SIM,Uma vida Abençoada ,64,87,20,7,30,
26/02/2025 22:21:53,26/02/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,Seja Protagonista do Seu Milagre,SIM,Os milagres de Jesus ,37,51,11,0,18,1- Apelo
01/03/2025 00:50:08,28/02/2025,22:00:00,Oração,Noite de Avivamento,Pastor Messias ,Milagres ,NÃO,,21,31,0,0,3,Batismo no Espírito Santo n-6
02/03/2025 11:02:44,02/03/2025,08:30:00,Culto,Culto de Celebração,Pastor Messias ,Eu sou Generoso?,SIM,Uma vida Abençoada ,37,55,21,3,33,3- Apelo
02/03/2025 21:15:36,02/03/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,Eu sou Generoso?,SIM,Uma vida Abençoada ,65,90,26,6,35,1- Apelo
05/03/2025 21:49:49,05/03/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,Vencendo Desafios,SIM,Vencendo Desafios ,36,44,12,0,21,
09/03/2025 12:01:58,09/03/2025,08:30:00,Culto,Culto de Celebração,Pastor Edson Ortega ,Deus Recompensa a Boa Mordomia ,SIM,Uma vida Abençoada ,46,67,18,0,20,
09/03/2025 21:41:33,09/03/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,Deus Recompensa a Boa Mordomia ,SIM,Uma vida Abençoada ,93,95,26,6,26,
12/03/2025 21:17:29,12/03/2025,19:00:00,Culto,Culto de Quarta,Pra. Elizângela ,Vencendo Desafios ,SIM,Vencendo Desafios ,42,59,11,0,21,
16/03/2025 12:01:39,16/03/2025,10:00:00,Culto,Culto de Celebração,Pastora Cida ,O Princípio da Multiplicação ,SIM,Uma vida Abençoada ,21,31,9,0,19,
16/03/2025 22:14:21,16/03/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,O Princípio da Multiplicação ,SIM,Uma vida Abençoada ,79,108,31,9,31,Apelo-  5
