Carimbo de data/hora,DATA,HORÁRIO,TIPO DE EVENTO,Tipo de Culto,QUEM MINISTROU:,TÍTULO DA MENSAGEM,O CULTO FOI DE UMA SÉRIE?,"SE FOR SÉRIE, QUAL NOME?",QUANTIDADE DE HOMENS,QUANTIDADE DE MULHERES,QUANTIDADE DE CRIANÇAS,QUANTIDADE DE BEBÊS,QUANTIDADE DE VOLUNTÁRIOS,COMENTÁRIOS ADICIONAIS
05/07/2026 11:29:45,05/07/2026,10:00:00,Culto,Culto de Celebração,Pastor Klayton ,Fazei isto em memória de mim,NÃO,,39,64,36,6,43,
01/07/2026 20:16:49,01/07/2026,19:00:00,Culto,Culto de Quarta,Pr klayton,Como acessar as riquezas  encobertas de d,SIM,"Riquezas encoberta, tesouros  escondidos ",24,31,16,04,25,
28/06/2026 20:14:38,28/06/2026,19:00:00,Culto,Culto de Celebração,Pastor Klayton,O caminho da prosperidade ,SIM,40 dia de prosperidade bíblica ,58,79,42,08,26,
21/06/2026 20:17:12,21/06/2026,19:00:00,Culto,Culto de Celebração,Pr Klayton ,Praticando a Espiritualidade Que Abençoa ,SIM,40 Dias de Prosperidade Bíblica ,43,71,35,11,41,
17/06/2026 20:13:55,17/06/2026,19:00:00,Culto,Culto de Quarta,Pr Klayton ,As maravilhas de Deus ,SIM,Por está causa me coloco de joelhos ,18,32,15,02,22,
14/06/2026 20:04:35,14/06/2026,19:00:00,Culto,Culto de Celebração,Pastor klayton ,Consagração e multiplicação princípios que ativam a multiplicação de Deus.,SIM,40 dias de prosperidade biblica,28,43,24,3,39,
10/06/2026 19:55:26,10/06/2026,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Deus é poderoso para fazer infinitamente mais,SIM,Por esta causa me coloco de joelhos ,17,29,11,02,25,
07/06/2026 20:36:47,07/06/2026,19:00:00,Culto,Culto de Celebração,Pastor kleyton ,40 dias de prosperidade Bíblica ,SIM,"Generosidade e contentamento,Vitória contra avareza",46,79,45,06,53,
03/06/2026 20:04:05,03/06/2026,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Por esta causa me ponho de joelhos,SIM,Por esta causa me coloco de joelhos ,16,32,11,02,24,
31/05/2026 20:16:14,31/05/2026,19:00:00,Culto,Culto de Celebração,Pastor kleyton ,40 dias de prosperidade Biblica,SIM,Liberdade espiritual e famílias abençoandas ,46,81,32,07,29,
27/05/2026 20:00:36,27/05/2026,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Seja protagonista do seu milagre,SIM,Campanha de curas e milagres ,31,47,13,04,28,
24/05/2026 20:36:59,24/05/2026,19:00:00,Culto,Culto de Celebração,Pr Klayton,Os primeiros frutos e o impacto da gratidão ,SIM,40 dias de prosperidade bíblica ,53,95,36,5,39,
20/05/2026 20:10:02,20/05/2026,19:00:00,Culto,Culto de Quarta,Pastor klayton ,Jesus que cura ,SIM,Campanha de curas e milagres ,19,29,12,03,27,
13/05/2026 19:48:36,13/05/2026,19:00:00,Culto,Culto de Quarta,Pastor Klayton ,Milagre da Restauração ,SIM,Campanha de Curas e Milagres,18,23,12,03,23,
10/05/2026 20:07:42,10/05/2026,19:00:00,Culto,Culto de Celebração,Pr Klayton ,Um coração rendido para uma vida sem estresse ,SIM,40 dias de prosperidade biblica,41,51,38,3,39,
06/05/2026 20:05:39,06/05/2026,19:00:00,Culto,Culto de Quarta,Pr. Klayton,O caminho do milagre,SIM,Campanha de Curas e Milagres ,25,37,13,06,24,
