Carimbo de data/hora,DATA,HORÁRIO,TIPO DE EVENTO,Tipo de Culto,QUEM MINISTROU:,TÍTULO DA MENSAGEM,O CULTO FOI DE UMA SÉRIE?,"SE FOR SÉRIE, QUAL NOME?",QUANTIDADE DE HOMENS,QUANTIDADE DE MULHERES,QUANTIDADE DE CRIANÇAS,QUANTIDADE DE BEBÊS,QUANTIDADE DE VOLUNTÁRIOS,COMENTÁRIOS ADICIONAIS
05/01/2025 11:33:43,05/01/2025,10:30:00,Culto,Culto de Celebração,Pastor CLODOILSON ,Deus o Nosso Pastor,SIM,Favor de Deus,32,62,11,5,24,Culto de Santa Ceia
05/01/2025 18:13:13,05/01/2025,17:00:00,Culto,Culto de Celebração,Pastor clodoilson,O favor de Deus (Deus nosso pastor),SIM,O ano do favor de Deus,35,57,38,8,25,Teens 22
05/01/2025 19:57:59,05/01/2025,07:00:00,Culto,Culto de Celebração,Pastor Clodoilson,Favor de Deus (Deus nosso pastor),SIM,O ano do favor de Deus,30,52,19,5,26,
08/01/2025 19:44:46,08/01/2025,07:00:00,Culto,Culto de Quarta,Pastor clodoilson,O milagre da provisao ,SIM,Os milagres de Jesus,16,29,11,3,22,
12/01/2025 11:21:25,12/01/2025,10:30:00,Culto,Outros,Pastor clodoilson,Tudo o que é meu é seu,SIM,O favor de Deus,28,37,15,2,21,"Total de 86 adultos 
15 crianças "
12/01/2025 17:50:51,12/01/2025,17:00:00,Culto,Culto de Celebração,Pr. Clodoilson ,Tudo que é meu é teu,NÃO,Não ,25,49,14,8,19,"Relavanteen 26 pessoas 
4 voluntários 
Ministro Leo Barbosa 
Tema: Aprendendo a Caminhar "
12/01/2025 19:53:49,12/01/2025,19:00:00,Culto,Culto de Celebração,Pr. Clodoilson ,Tudo que é meu é teu,SIM,Favor de Deus,32,43,17,5,19,
15/01/2025 19:57:35,15/01/2025,19:00:00,Culto,Culto de Quarta,Pastora Ana Lucia,A pesca maravilhosa,NÃO,,20,41,10,6,18,
19/01/2025 11:29:50,19/01/2025,10:30:00,Culto,Culto de Celebração,Pastora Ana,Tu sempre estas comigo,SIM,2025 o ano do favor de Deus,31,62,24,3,22,
19/01/2025 17:53:46,19/01/2025,17:00:00,Culto,Culto de Celebração,Pra Ana Lúcia ,Tu sempre Estas Comigo ,SIM,Favor de Deus,22,41,12,3,21,
19/01/2025 19:55:35,19/01/2025,07:00:00,Culto,Culto de Celebração,Pra Ana Lúcia ,Tú Sempre Estas Comigo ,SIM,Favor de Deus,26,40,15,6,21,19 horas
22/01/2025 19:50:22,22/01/2025,19:00:00,Culto,Culto de Quarta,Pr Clodoilson,Jesus Acalma a Tempestade ,SIM,Os Milagres de Jesus,24,30,22,4,20,
26/01/2025 11:22:39,26/01/2025,10:30:00,Culto,Culto de Celebração,Pr Clodoilson ,A suprema riqueza da sua graça ,SIM,Favor de Deus,35,60,22,5,20,
26/01/2025 17:57:44,26/01/2025,17:00:00,Culto,Culto de Celebração,Pastor clodoilson,Suprema riwueza sua graça ,SIM,Favor de Deus,18,46,17,3,21,
26/01/2025 20:03:56,26/01/2025,19:00:00,Culto,Culto de Celebração,Pastor clodoilson ,A suprema riqueza da  sua graça ,SIM,O favor de Deus ,25,32,12,3,20,
29/01/2025 19:57:21,29/01/2025,19:00:00,Culto,Culto de Celebração,Pastora ana lucia ,A cura pra vc ,SIM,Milagre de jesus,17,28,14,2,18,
02/02/2025 11:28:30,02/02/2025,10:30:00,Culto,Culto de Celebração,Pastor clodoilson ,Tudo sobre o coração ,SIM,Uma vida abencoada,45,81,36,5,25,Total de adultos e pastores =151
02/02/2025 17:50:57,02/02/2025,17:00:00,Culto,Culto de Celebração,PR. CLODOILSON,É tudo sobre o coração ,SIM,Uma vida abençoada ,38,80,20,9,23,"Relevanteen: 
tema: aprendendo a continuar
Ministro: Leonardo Barbosa
Voluntários: 5
Teens: 25"
02/02/2025 19:53:59,02/02/2025,17:00:00,Culto,Culto de Celebração,PR. CLODOILSON ,É tudo sobre o coração ,SIM,Uma vida abençoada ,37,45,15,11,23,
05/02/2025 20:05:27,05/02/2025,19:00:00,Culto,Culto de Quarta,Pr. Clodoilson Pires ,Seja Produtivo ,SIM,Os Milagres de Jesus,25,41,14,6,17,
09/02/2025 11:40:25,09/02/2025,10:30:00,Culto,Culto de Celebração,Pr Clodoilson ,A Prova,SIM,Uma Vida Abençoada ,48,71,30,9,22,
09/02/2025 18:04:28,09/02/2025,05:00:00,Culto,Culto de Celebração,Pastor Clodoilsom ,A prova,SIM,Uma vida mais que abençoada,31,49,20,4,17,"Relevanteen 
26 jovens 
8 Voluntários
Ministração pastor Felipe "
09/02/2025 19:53:28,09/02/2025,07:00:00,Culto,Culto de Celebração,Pastor Clodoilson,A prova,SIM,Uma Vida Abençoada,26,41,10,7,24,
12/02/2025 19:41:45,12/02/2025,19:00:00,Culto,Culto de Celebração,Prª Ana Lucia ,O Milagre da Ressurreição ,SIM,Os Milagres de Jesus ,30,38,13,3,21,
